Timestamp,FRUITS_VEGGIES,DAILY_STRESS,PLACES_VISITED,CORE_CIRCLE,SUPPORTING_OTHERS,SOCIAL_NETWORK,ACHIEVEMENT,DONATION,BMI_RANGE,TODO_COMPLETED,FLOW,DAILY_STEPS,LIVE_VISION,SLEEP_HOURS,LOST_VACATION,DAILY_SHOUTING,SUFFICIENT_INCOME,PERSONAL_AWARDS,TIME_FOR_PASSION,DAILY_MEDITATION,AGE,GENDER
7/7/15,3,2,2,5,0,5,2,0,1,6,4,5,0,7,5,5,1,4,0,5,36 to 50,Female
7/7/15,2,3,4,3,8,10,5,2,2,5,2,5,5,8,2,2,2,3,2,6,36 to 50,Female
7/7/15,2,3,3,4,4,10,3,2,2,2,2,4,5,8,10,2,2,4,8,3,36 to 50,Female
7/7/15,3,3,10,3,10,7,2,5,2,3,5,5,0,5,7,5,1,5,2,0,51 or more,Female
7/7/15,5,1,3,3,10,4,2,4,2,5,0,5,0,7,0,0,2,8,1,5,51 or more,Female
7/8/15,3,2,3,9,10,10,2,3,1,6,1,7,10,8,0,2,2,10,8,3,51 or more,Female
7/8/15,4,2,10,6,10,10,3,5,2,8,8,7,5,7,10,0,2,10,8,10,51 or more,Male
7/9/15,3,4,5,3,5,7,4,0,1,8,2,8,10,6,0,2,2,8,2,2,21 to 35,Female
7/9/15,5,3,6,4,3,3,5,4,1,10,2,1,5,10,0,2,2,10,3,10,21 to 35,Female
7/10/15,4,4,2,6,10,10,0,4,2,3,2,3,0,6,0,0,1,3,8,1,51 or more,Female
7/10/15,2,4,7,7,1,1,3,0,2,2,2,7,4,8,7,3,2,3,0,6,36 to 50,Female
7/12/15,1,4,3,8,0,2,1,0,1,2,1,8,2,7,7,1,2,4,1,7,21 to 35,Male
7/12/15,2,2,10,5,2,8,3,4,2,7,1,6,10,8,0,0,2,5,2,7,21 to 35,Male
7/12/15,5,3,0,3,6,6,6,3,1,8,7,7,2,6,0,3,2,5,6,5,36 to 50,Female
7/12/15,3,3,2,3,7,5,3,2,1,8,0,2,5,8,3,2,1,4,5,4,21 to 35,Female
7/12/15,3,3,5,4,10,10,2,5,1,7,2,8,10,6,1,2,2,8,3,10,51 or more,Female
7/12/15,4,2,10,4,6,10,4,0,1,8,2,1,1,8,1,1,2,3,3,3,21 to 35,Male
7/12/15,4,2,10,10,5,10,0,1,1,7,1,10,2,8,0,3,2,4,8,6,21 to 35,Male
